Número,Cor,Hora/Minuto,Data,Apostas no Vermelho,Apostas no Branco,Apostas no Preto,Seed
14,black,02:01,02:01:27,R$ 229,32,R$ 611,52,R$ 163,80,316b4c17-7714-4eb7-b8b0-81900e0802db98e4693f-abb6-44af-be58-6f801f0093de
5,red,02:00,02:00:57,R$ 147,42,R$ 606,06,R$ 376,74,5af9799f-6091-4b7f-84f7-bbd3699ad165d3d047c6-94c8-47c1-ada5-a9bb5e996aee
8,black,02:00,02:00:27,R$ 174,72,R$ 567,84,R$ 485,94,c91b3c99-0b6e-4e95-bf44-28a752ede944a71ecb89-6b93-433a-872f-0e73e991bb57
13,black,01:59,01:59:57,R$ 81,90,R$ 562,38,R$ 152,88,970841ac-9f3a-4a50-9954-b691e1439d4d0deb4bb5-62c4-486c-acbb-84088174def3
9,black,01:59,01:59:27,R$ 294,84,R$ 791,70,R$ 387,66,ce50fe8e-2ad8-4919-a91f-49c99fb47f64c867de21-0bfc-4b89-91a6-11b8d8e59ac4
1,red,01:58,01:58:57,R$ 278,46,R$ 682,50,R$ 109,20,8802f1eb-d2b7-47c8-94ae-1f71be87f5c6e2280ed8-0dc8-4c83-81c4-88c9ebaeb59b
7,red,01:58,01:58:27,R$ 185,64,R$ 824,46,R$ 283,92,4b4dd0d2-2d2a-436e-90fb-fa3e5e12bd2140660994-602e-483e-b8a7-3d38ac4f8710
8,black,01:57,01:57:57,R$ 1.818,18,R$ 649,74,R$ 502,32,a30cc3e2-c760-4f6b-a157-35f23b122171a8beff54-1fcb-4eb6-993b-66147e6747a7
8,black,01:57,01:57:27,R$ 431,34,R$ 644,28,R$ 1.059,24,4025e06e-c5a5-42f6-bc36-a2c23f59b1c94e57ea67-7fd3-4c63-bc6a-53e56c567463
6,red,01:56,01:56:57,R$ 343,98,R$ 556,92,R$ 589,68,1f5c30b8-7a65-4aca-b27e-4cdcddcfc6d1c375ceeb-28a9-439d-abf7-fb45f2f9f9bc
1,red,01:56,01:56:27,R$ 273,00,R$ 715,26,R$ 131,04,c8ccdc04-9dd0-4e01-a047-1f93290aaa31de11ba1d-0449-4b72-8c08-8acfe590b6d3
11,black,01:55,01:55:57,R$ 207,48,R$ 813,54,R$ 322,14,b1c64c29-2dd8-4bc1-a287-a8a4953fd6b74b71d6f9-7a83-415a-a544-8d867c3b0410
6,red,01:55,01:55:26,R$ 343,98,R$ 715,26,R$ 546,00,0188590e-60e5-45fe-a539-8b0f650d71c194499be8-f079-4772-967d-dad39e6a20c8
6,red,01:54,01:54:56,R$ 245,70,R$ 671,58,R$ 256,62,d5ac905d-d185-415b-92a6-109986667463ebe0000a-796a-483b-ad6b-81a7cf6813f4
6,red,01:54,01:54:26,R$ 60,06,R$ 513,24,R$ 2.178,54,e8621a11-f1f4-48b2-acd0-94aaa52fb970938e3425-a435-4298-b552-a8df6225a406
5,red,01:53,01:53:56,R$ 518,70,R$ 748,02,R$ 109,20,60377ed8-6cbd-4a53-a182-6eaa1a113b3a151a61a2-397a-4851-9f35-08d0404b2016
12,black,01:53,01:53:26,R$ 322,14,R$ 748,02,R$ 556,92,500de5f7-ef8a-429f-a46e-4a63ca6c182e14853c3e-a462-44ba-890a-7e19768439be
3,red,01:52,01:52:56,R$ 267,54,R$ 682,50,R$ 425,88,cbf7cfd0-e7f0-4331-894f-a92b3f5bdeedb0e598c8-3007-499f-9b84-db89dbc1fff9
8,black,01:52,01:52:26,R$ 278,46,R$ 1.010,10,R$ 125,58,21dc53e0-d88a-4d5b-a428-75f668d96a4e98d82556-7836-4f27-a3dd-154ac0541bce
0,white,01:51,01:51:56,R$ 174,72,R$ 698,88,R$ 1.861,86,b6d54235-65bf-4cd0-b33b-4cec0ced09f95c52b129-ccaa-4ea6-a543-a1c79026fbf0
11,black,01:51,01:51:26,R$ 229,32,R$ 524,16,R$ 1.900,08,0f2d2d46-1f61-4dd8-b394-d5e2d380e373b43cf28f-5b4d-4e35-b585-f860c36ad6b8
13,black,01:50,01:50:56,R$ 496,86,R$ 753,48,R$ 606,06,102e31ba-b702-4f2e-9ade-1ac7290da0efb88f9136-35ce-4e24-b02f-2203f27d77a0
