Número,Cor,Hora/Minuto,Data,Apostas no Vermelho,Apostas no Branco,Apostas no Preto,Seed
14,black,23:49,23:49:11,R$ 704,34,R$ 1.381,38,R$ 491,40,39d0a1c1-fec9-4007-b8f4-012264ce6aee13f7e663-4c52-48ee-8655-68b80aac35f5
0,white,23:48,23:48:11,R$ 4.766,58,R$ 2.254,98,R$ 982,80,e76101cd-0d32-4e7f-a10e-48841652f5e089e66155-930b-4829-80d7-2e17aee6eda5
0,white,23:47,23:47:41,R$ 152,88,R$ 1.670,76,R$ 1.048,32,08216e64-8123-4969-87eb-ce48a2e0ad6da8b9eb17-524e-4e12-a9b4-c8939ce667c4
7,red,23:47,23:47:10,R$ 671,58,R$ 1.528,80,R$ 404,04,051f7048-ada2-47af-a88c-41504b141134c711f3ad-bcee-4a0d-a2d7-52d8ad283cd2
4,red,23:46,23:46:10,R$ 660,66,R$ 1.255,80,R$ 546,00,c4c69100-69a8-4a1a-ac58-8b2c48cf484d8abe5f80-2e3e-444b-b23b-f85efcc143cc
12,black,23:45,23:45:40,R$ 1.911,00,R$ 1.567,02,R$ 737,10,09674a29-7553-41ae-ba6f-5dbef7242f3c0381a6b2-d5bd-4c7e-bac4-c7716655ab14
7,red,23:45,23:45:10,R$ 955,50,R$ 1.485,12,R$ 3.215,94,18bb8306-8a0b-4871-97c0-c4a9d1ac4a4e0d23fbb5-77ca-46d1-aec2-1a7db8606162
14,black,23:44,23:44:40,R$ 240,24,R$ 1.217,58,R$ 398,58,95d17cc5-7ce0-4ea4-b0c0-d36d24ea39fdfd76929c-0edd-451c-8fa6-6827727c168f
12,black,23:44,23:44:10,R$ 327,60,R$ 1.299,48,R$ 245,70,83d06e19-e8fa-42a4-9ae1-732463fa751afe654f4d-ffd9-433d-b274-5c952117f8f1
6,red,23:43,23:43:40,R$ 606,06,R$ 1.310,40,R$ 529,62,a2401e85-f44c-4141-a133-026dce630856cc653a04-c71e-40fc-86af-e28df085322f
14,black,23:43,23:43:10,R$ 398,58,R$ 1.457,82,R$ 420,42,5fa2f716-1912-423c-b6d4-e23350654b92ea58965c-0392-4ff4-af96-adbf08752960
11,black,23:42,23:42:40,R$ 316,68,R$ 2.145,78,R$ 458,64,72e083ab-0a25-4601-9eba-88bb017e19221f3982fb-7198-4354-bde5-54c091780472
0,white,23:42,23:42:10,R$ 666,12,R$ 1.577,94,R$ 1.255,80,d8c863ae-34a2-4f56-a078-2c5525a39fe97b8a7477-c3a2-44ad-95fc-47086bf59373
9,black,23:41,23:41:40,R$ 393,12,R$ 1.648,92,R$ 420,42,4ba9f4d9-188a-4eb1-a254-fe432d138aaec88f8f30-1cce-401e-8353-1fab3dafd864
2,red,23:41,23:41:10,R$ 316,68,R$ 1.583,40,R$ 1.119,30,fbacad88-4dfc-459a-a2b4-a3a42c428b09e1f53335-8c35-4e88-8199-c70254a23f61
5,red,23:40,23:40:40,R$ 475,02,R$ 1.392,30,R$ 278,46,73357f0b-a51d-4590-9c6a-81f18a025e3de6eea971-eaf0-4816-9a29-8f13bdf83f0a
13,black,23:40,23:40:10,R$ 360,36,R$ 1.605,24,R$ 387,66,c6b8c2d0-9395-4dab-b7c5-9b2e51399519a4cc92c9-a45b-4573-a489-863cfe560b07
12,black,23:39,23:39:40,R$ 453,18,R$ 1.501,50,R$ 475,02,f37509dc-f8ce-4e75-a6c5-48088ba8a761ebd349e5-2b54-40dc-9400-2752ec5b64f6
12,black,23:39,23:39:10,R$ 502,32,R$ 1.556,10,R$ 229,32,5b009389-4080-4bde-9ba5-37c8c3f37257af39a5d2-7b3b-4c81-8f19-dee1e4667fef
